AMOUNT;p1_Fraud;p2_Fraud;p3_Fraud;p4_Fraud;p5_Fraud;CLASS
97207.0500;0.2608;0.4130;0.2845;0.3043;0.3130;G
500;0.1233;0.2480;0.1345;0.2493;0.1480;G
100;0.0433;0.1520;0.0473;0.2173;0.0520;G
;0.2800;0.4360;0.1360;0.3120;0.3360;G
300;0.3117;0.4740;0.3400;0.3247;0.3740;G
300;0.1758;0.3110;0.1918;0.2703;0.2110;G
1;0.3450;0.4450;0.5864;0.4150;0.6450;F
;0.1242;0.2490;0.1355;0.2497;0.1490;G
.0400;0.0642;0.1770;0.0700;0.2257;0.0770;G
17610;0.0758;0.1910;0.0827;0.2303;0.0910;G
;0.0733;0.1880;0.0800;0.2293;0.0880;G
31918.5000;0.2750;0.4300;0.3000;0.3100;0.3300;G
1;0.0542;0.1650;0.0591;0.2217;0.0650;G
99000;0.0717;0.1860;0.0782;0.2287;0.0860;G
;0.0850;0.2020;0.0927;0.2340;0.1020;G
;0.3060;0.4060;0.5509;0.4020;0.6060;F
;0.1630;0.4630;0.6027;0.4210;0.6630;F
;0.3910;0.6910;0.8100;0.4970;0.8910;F
550;0.0100;0.1120;0.0109;0.2040;0.0120;G
6961;0.0333;0.1400;0.0364;0.2133;0.0400;G
0.0100;0.4730;0.5730;0.3230;0.4577;0.7730;G
3000;0.3675;0.6410;0.2410;0.3470;0.4410;F
200;0.5750;0.6750;0.4250;0.4917;0.8750;G
100;0.6410;0.7410;0.4910;0.5137;0.9410;G
50;0.6410;0.7410;0.4910;0.5137;0.9410;G
5994.9000;0.0650;0.1780;0.0709;0.2260;0.0780;G
150;0.0642;0.1770;0.0700;0.2257;0.0770;G
20;0.1850;0.4850;0.6227;0.4283;0.6850;F
1300;0.6140;0.7140;0.4640;0.5047;0.9140;G
400;0.0242;0.1290;0.0264;0.2097;0.0290;G
22860;0.0750;0.1900;0.0818;0.2300;0.0900;G
30740;0.3600;0.2320;0.3927;0.3440;0.4320;G
19000;0.3442;0.2130;0.3755;0.3377;0.4130;G
4000;0.3200;0.4840;0.3491;0.3280;0.3840;G
;0.2770;0.3770;0.5245;0.3923;0.5770;F
4000;0.1350;0.2620;0.1473;0.2540;0.1620;G
4300;0.0308;0.1370;0.0336;0.2123;0.0370;G
650;0.0317;0.1380;0.0345;0.2127;0.0380;G
40.6300;0.0992;0.2190;0.1082;0.2397;0.1190;F
2000;0.4560;0.7560;0.8691;0.5187;0.9560;F
500;0.1683;0.3020;0.1836;0.2673;0.2020;G
1000;0.0092;0.1110;0.0100;0.2037;0.0110;G
1000;0.0542;0.1650;0.0591;0.2217;0.0650;G
19000;0.6590;0.7590;0.8718;0.9590;0.9590;F
100;0.2917;0.4500;0.3182;0.3167;0.3500;G
27726.9900;0.0683;0.1820;0.0745;0.2273;0.0820;G
15000;0.6860;0.7860;0.8964;0.9860;0.9860;F
76917.2700;0.1617;0.2940;0.1764;0.2647;0.1940;G
23000;0.2825;0.4390;0.3082;0.3130;0.3390;G
;0.6950;0.7950;0.9045;0.5317;0.9950;F
65143;0.3800;0.2560;0.4145;0.3520;0.4560;G
;0.0492;0.1590;0.0536;0.2197;0.0590;G
77000;0.3950;0.2740;0.2740;0.3580;0.4740;G
50;0.6490;0.7490;0.4990;0.5163;0.9490;G
122308.4200;0.4740;0.7740;0.8855;0.5247;0.9740;F
2000;0.2100;0.3520;0.2291;0.2840;0.2520;G
1;0.6910;0.7910;0.9009;0.5303;0.9910;F
5000;0.2900;0.3900;0.5364;0.3967;0.5900;G
47999.5000;0.0650;0.1780;0.0709;0.2260;0.0780;G
1500;0.0717;0.1860;0.0782;0.2287;0.0860;G
3000;0.6950;0.7950;0.9045;0.5317;0.9950;F
27150;0.2967;0.4560;0.3236;0.3187;0.3560;G
728.6100;0.2200;0.3200;0.4727;0.3733;0.5200;F
360;0.6780;0.7780;0.5280;0.5260;0.9780;G
;0.6030;0.7030;0.4530;0.5010;0.9030;G
100;0.6670;0.7670;0.5170;0.5223;0.9670;G
21.7900;0.0942;0.2130;0.1027;0.2377;0.1130;G
4400;0.1008;0.2210;0.1100;0.2403;0.1210;G
114650;0.3440;0.4440;0.5855;0.4147;0.6440;U
6701;0.0650;0.1780;0.0709;0.2260;0.0780;G
819;0.3783;0.2540;0.4127;0.3513;0.4540;G
;0.3870;0.4870;0.6245;0.4290;0.6870;U
40;0.6910;0.7910;0.5410;0.5303;0.9910;G
64650;0.5280;0.6280;0.7527;0.4760;0.8280;U
5006.8800;0.0075;0.1090;0.0082;0.2030;0.0090;G
500;0.5850;0.6850;0.4350;0.4950;0.8850;G
100;0.6910;0.7910;0.5410;0.5303;0.9910;G
479;0.1642;0.2970;0.1791;0.2657;0.1970;G
5500;0.0875;0.2050;0.0955;0.2350;0.1050;G
1533.7800;0.2475;0.3970;0.2700;0.2990;0.2970;G
100;0.6920;0.7920;0.5420;0.5307;0.9920;G
22000;0.0717;0.1860;0.0782;0.2287;0.0860;G
125000;0.2150;0.3580;0.2345;0.2860;0.2580;G
200;0.6930;0.7930;0.5430;0.5310;0.9930;G
100;0.6910;0.7910;0.5410;0.5303;0.9910;G
49025.6500;0.3890;0.6890;0.8082;0.4963;0.8890;F
1600;0.0517;0.1620;0.0564;0.2207;0.0620;G
80105.5300;0.4620;0.7620;0.8745;0.5207;0.9620;F
